id,DKValue,FDValue
AUT,1701.16455,1914.658648
BRA,1850.879368,4129.059409
BRN,2087.652062,3430.839083
CAN,1703.725676,2193.467436
CHE,1654.336127,2124.037638
CZE,1676.485142,2128.840956
DEU,1555.087169,2019.994441
DNK,1637.580192,2116.354198
EST,2003.968011,2517.017878
FIN,1613.318195,1992.247808
FRA,1387.34301,1540.805938
ITA,1342.977208,2852.57907
KAZ,1568.441769,1785.071364
LTU,1725.103701,2532.233789
LVA,1671.30153,1936.348347
NOR,1747.258287,2440.153028
RUS,1709.771556,2063.580688
SVK,1705.869779,2348.740564
SVN,1716.848007,1892.587162
SWE,1669.092793,2011.17978
USA,1701.170683,2207.084658
